"","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","ManUtd","HullCity",1,985,3008,1,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"2","ManUtd","HullCity",2,985,3008,2,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"3","ManUtd","HullCity",3,985,3008,3,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"4","ManUtd","HullCity",4,985,3008,4,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"5","ManUtd","HullCity",5,985,3008,5,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"6","ManUtd","HullCity",6,985,3008,6,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"7","ManUtd","HullCity",7,985,3008,7,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"8","ManUtd","HullCity",8,985,3008,8,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"9","ManUtd","HullCity",9,985,3008,9,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"10","ManUtd","HullCity",10,985,3008,10,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"11","ManUtd","HullCity",11,985,3008,11,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"12","ManUtd","HullCity",12,985,3008,12,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"13","ManUtd","HullCity",13,985,3008,13,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"14","ManUtd","HullCity",14,985,3008,14,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"15","ManUtd","HullCity",15,985,3008,15,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"16","ManUtd","HullCity",16,985,3008,16,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"17","ManUtd","HullCity",17,985,3008,17,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"18","ManUtd","HullCity",18,985,3008,18,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"19","ManUtd","HullCity",19,985,3008,19,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"20","ManUtd","HullCity",20,985,3008,20,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"21","ManUtd","HullCity",21,985,3008,21,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"22","ManUtd","HullCity",22,985,3008,22,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"23","ManUtd","HullCity",23,985,3008,23,0,0,0,0,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"24","ManUtd","HullCity",24,985,3008,24,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"25","ManUtd","HullCity",25,985,3008,25,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"26","ManUtd","HullCity",26,985,3008,26,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"27","ManUtd","HullCity",27,985,3008,27,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"28","ManUtd","HullCity",28,985,3008,28,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"29","ManUtd","HullCity",29,985,3008,29,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"30","ManUtd","HullCity",30,985,3008,30,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"31","ManUtd","HullCity",31,985,3008,31,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"32","ManUtd","HullCity",32,985,3008,32,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"33","ManUtd","HullCity",33,985,3008,33,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"34","ManUtd","HullCity",34,985,3008,34,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
"35","ManUtd","HullCity",35,985,3008,35,0,0,0,1,0,0,0,0,0,0,"AWAY",3,3,2,2,0,0,4,3,6,2,2,2,2,0,0,5,4,6
