"","nome.y","nome.x","minuto","time2","time1","X.x","sb.tor1","sb.tor2","sb.gelb1","sb.gelb2","sb.gelbrot1","sb.gelbrot2","sb.wechsel1","sb.wechsel2","sb.11m1","sb.11m2","vencedor","X.y","position_1","games_1","wins_1","draws_1","losses_1","goals_1","saldo_1","points_1","X","position_2","games_2","wins_2","draws_2","losses_2","goals_2","saldo_2","points_2"
"1","Wigan","Bolton",1,1071,355,1,0,0,0,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"2","Wigan","Bolton",2,1071,355,2,0,0,0,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"3","Wigan","Bolton",3,1071,355,3,0,0,0,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"4","Wigan","Bolton",4,1071,355,4,0,0,0,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"5","Wigan","Bolton",5,1071,355,5,0,0,0,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"6","Wigan","Bolton",6,1071,355,6,0,0,0,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"7","Wigan","Bolton",7,1071,355,7,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"8","Wigan","Bolton",8,1071,355,8,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"9","Wigan","Bolton",9,1071,355,9,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"10","Wigan","Bolton",10,1071,355,10,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"11","Wigan","Bolton",11,1071,355,11,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"12","Wigan","Bolton",12,1071,355,12,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"13","Wigan","Bolton",13,1071,355,13,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"14","Wigan","Bolton",14,1071,355,14,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"15","Wigan","Bolton",15,1071,355,15,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"16","Wigan","Bolton",16,1071,355,16,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"17","Wigan","Bolton",17,1071,355,17,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"18","Wigan","Bolton",18,1071,355,18,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
"19","Wigan","Bolton",19,1071,355,19,0,0,1,0,0,0,0,0,0,0,"AWAY",10,10,19,7,2,10,22,-5,23,8,8,19,7,4,8,23,1,25
